Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
7/31/2018,Jaipur,53.4,139.8,8.72,31.33,32.48,15.13,0.48,9.76,28.43,114,Moderate
08-01-2018,Jaipur,63.97,178.41,14.02,30.99,33.17,18.31,0.51,8.75,47.11,147,Moderate
08-02-2018,Jaipur,68.84,191.11,10.95,20.59,26.64,11.37,0.53,8.6,52.35,158,Moderate
08-03-2018,Jaipur,68.51,187.2,12.4,27.2,34.91,10,0.69,9.41,41.62,165,Moderate
08-04-2018,Jaipur,61.58,173.12,15.01,23.91,32.28,10.65,0.69,10.74,36.23,154,Moderate
08-05-2018,Jaipur,60.62,164.36,11.85,24.05,29.14,7.11,0.69,9.3,34.4,153,Moderate
08-06-2018,Jaipur,50.47,133.34,13.32,22.21,29.95,8.67,0.73,10.37,31.14,129,Moderate
08-07-2018,Jaipur,54.87,113.08,8.78,26.42,30.51,9.47,0.91,8,32.71,113,Moderate
08-08-2018,Jaipur,51.27,92.53,12.92,21.8,31.27,12.7,0.83,7.59,31.31,118,Moderate
08-09-2018,Jaipur,28.7,54.06,16.12,19.36,29.37,15.3,0.75,9.74,36.08,93,Satisfactory
08-10-2018,Jaipur,34.8,75.27,12.13,24.58,29.78,17.23,0.75,11.08,27.59,69,Satisfactory
08-11-2018,Jaipur,37.53,82,10.89,23.6,29.95,11.67,0.66,7.66,24.11,79,Satisfactory
08-12-2018,Jaipur,26.76,76.2,9.92,20.85,26.97,9.43,0.59,7.26,25.35,79,Satisfactory
8/13/2018,Jaipur,35.63,98.64,8.9,20.43,25.81,9.12,0.65,7.17,33.16,82,Satisfactory
8/14/2018,Jaipur,51.3,106.87,8.62,21.97,26.69,11.66,0.77,9.28,30.22,100,Satisfactory
8/15/2018,Jaipur,73.24,174.59,9.58,20.69,26.49,12.89,0.64,11.23,25.3,158,Moderate
8/16/2018,Jaipur,38.92,63.99,8.99,19.6,25.37,14.62,0.74,10.39,26.32,115,Moderate
8/17/2018,Jaipur,32.28,50.48,6.91,14.35,18.06,13.96,0.61,8.93,33.85,61,Satisfactory
8/18/2018,Jaipur,33.39,59.66,8.43,17.54,21.44,13.72,0.72,10.47,37.38,74,Satisfactory
8/19/2018,Jaipur,25.88,54.67,16.21,19.22,31.7,12.38,0.82,10.13,22.25,75,Satisfactory
8/20/2018,Jaipur,28.61,63.08,20.09,18.9,34.44,16.35,0.9,9.34,15.29,74,Satisfactory
8/21/2018,Jaipur,29.54,74.71,12.06,20.9,28.59,16.55,0.82,10.09,20.84,79,Satisfactory
8/22/2018,Jaipur,39.29,72.22,13.49,22.76,32,14.75,0.73,10.06,20.31,84,Satisfactory
8/23/2018,Jaipur,28.67,54.46,14.49,21.23,31.76,12.91,0.67,10.24,15.52,69,Satisfactory
8/24/2018,Jaipur,29.88,66.95,13.38,20.67,30.28,11.54,0.6,8.77,19.43,87,Satisfactory
8/25/2018,Jaipur,29.4,66.07,14.17,21.68,31.42,11.29,0.59,9,18.62,70,Satisfactory
8/26/2018,Jaipur,34.97,89.44,10.4,21.09,27.19,10.76,0.54,8.74,23.44,75,Satisfactory
8/27/2018,Jaipur,42.25,121.42,15.81,23.04,33.68,11.73,0.75,9.08,22.87,100,Satisfactory
10/16/2019,Jorapokhar,73.9,59.7,8.98,9.36,,6.33,,9.02,20.84,,
10/17/2019,Jorapokhar,91.02,70.56,9.17,9.34,,6.29,,6.86,33.9,,
10/18/2019,Jorapokhar,50.11,69.3,8.57,9.38,,6.28,,6.32,21.78,84,Satisfactory
10/19/2019,Jorapokhar,63.06,96.55,8.94,9.6,,6.21,,6.42,128.86,191,Moderate
10/20/2019,Jorapokhar,43.39,99.26,8.76,9.32,,6.31,,5.7,75.22,144,Moderate
10/21/2019,Jorapokhar,38.41,93.33,8.73,9.12,,6.26,,4.59,47.6,101,Moderate
10/22/2019,Jorapokhar,51.9,97.1,9.05,9.28,,6.32,,6.01,49.86,92,Satisfactory
10/23/2019,Jorapokhar,66.99,107.17,8.94,9.47,,6.31,,6.65,43.48,113,Moderate
10/24/2019,Jorapokhar,33.44,97.26,8.86,9.14,,6.32,,4.63,52.47,103,Moderate
10/25/2019,Jorapokhar,28.03,93.26,8.62,9.33,,6.22,,5.04,33.36,97,Satisfactory
10/26/2019,Jorapokhar,24.21,91.49,8.86,9.12,,6.29,,4.51,17.29,90,Satisfactory
10/27/2019,Jorapokhar,48.94,102.92,9.1,9.2,,6.36,,6.24,18.68,97,Satisfactory
10/28/2019,Jorapokhar,54.86,92.45,8.94,9.36,,6.33,,6.76,21.78,98,Satisfactory
10/29/2019,Jorapokhar,60.84,111.14,8.89,9.11,,6.32,,4.92,43.44,100,Satisfactory
10/30/2019,Jorapokhar,54.31,95.27,8.7,8.97,,6.29,,4.52,93.49,126,Moderate
10/31/2019,Jorapokhar,69.65,103.78,8.63,9.13,,6.28,,4.86,51.53,129,Moderate
11-01-2019,Jorapokhar,69.63,101.4,8.69,8.85,,6.32,,4.94,26.34,136,Moderate
11-02-2019,Jorapokhar,64.19,97.62,8.69,8.9,,6.33,,5.2,25.54,125,Moderate
11-03-2019,Jorapokhar,84.44,113.21,8.79,9.05,,6.33,,4.67,26.13,140,Moderate
11-04-2019,Jorapokhar,81.96,116.47,8.77,9.02,,6.32,,4.43,44.71,189,Moderate
11-05-2019,Jorapokhar,78.73,111.58,8.72,8.94,,6.29,,4.92,35.58,155,Moderate
11-06-2019,Jorapokhar,73.1,107.97,8.81,9.2,,6.29,,5.36,46.57,159,Moderate
11-07-2019,Jorapokhar,87.87,122.77,9,9.72,,6.33,,6.3,96.66,173,Moderate
11-08-2019,Jorapokhar,82.13,115.11,8.81,9.66,,6.28,,6.06,94.89,211,Poor
11-09-2019,Jorapokhar,45.74,98.21,8.73,9.25,,6.29,,5.88,70.21,117,Moderate
11-10-2019,Jorapokhar,42.71,98.61,8.7,9.21,,6.3,,6.06,56.02,97,Satisfactory
11-11-2019,Jorapokhar,55.88,125.52,8.65,9.06,,6.31,,5.21,50.6,104,Moderate
11-12-2019,Jorapokhar,62.87,110.06,8.91,9.08,,6.33,,6,71.96,118,Moderate
11/13/2019,Jorapokhar,80.47,210.86,8.84,9.5,,6.25,,9.44,54.55,134,Moderate
11/14/2019,Jorapokhar,90.81,168.74,8.74,9.31,,6.33,,22.07,59.11,216,Poor
2/16/2020,Kochi,51.19,115.31,68.55,6.08,53.11,2.8,1.15,20.7,2.56,117,Moderate
2/17/2020,Kochi,62.65,134.46,63.33,37,61.56,3.37,1.31,20.91,10.61,115,Moderate
2/18/2020,Kochi,67.72,131.39,50.98,26.49,50.72,2.26,1.44,21.77,15.38,129,Moderate
2/19/2020,Kochi,143.85,201.76,48.81,26.94,52.08,2.88,1.57,23.25,15.5,277,Poor
2/20/2020,Kochi,66.64,120.58,48.52,22.23,47.8,1.39,1.44,22.34,16.68,191,Moderate
2/21/2020,Kochi,69.07,121.04,48.28,19.33,48.61,1.34,1.48,21.13,14.07,135,Moderate
2/22/2020,Kochi,49.41,99.69,57.02,22.44,56.52,3.96,1.44,20.98,13.13,108,Moderate
2/23/2020,Kochi,48.39,85.13,43.2,18.53,39.28,2.01,1.26,21,14.62,90,Satisfactory
2/24/2020,Kochi,58.24,109.65,32.9,22.26,34.51,2.43,1.46,21.84,13.98,96,Satisfactory
2/25/2020,Kochi,50.07,95.35,27.17,16.15,25.03,2.26,1.48,22.41,12.16,101,Moderate
2/26/2020,Kochi,71.43,113.52,33.65,14.08,26.33,2.6,1.51,22.03,8.88,113,Moderate
2/27/2020,Kochi,56.51,100.73,82.41,13.47,68.71,3.49,1.41,21.85,5.65,110,Moderate
2/28/2020,Kochi,54.02,97.41,84.9,14.11,70.87,3.57,1.54,21.01,4.43,102,Moderate
2/29/2020,Kochi,47,158.39,50.47,13.83,43.96,1.8,1.43,20.17,9.3,106,Moderate
03-01-2020,Kochi,47.81,128.53,42.32,8.2,34.22,2.29,1.34,14.79,8.79,136,Moderate
03-02-2020,Kochi,41.58,102.17,66.61,5.81,50.79,2.74,1.32,17.99,2.67,110,Moderate
03-03-2020,Kochi,38.21,97.42,98.1,0.61,74.98,2.69,1.42,17.33,1.58,98,Satisfactory
03-04-2020,Kochi,35.82,93.48,99.63,0.4,76.03,2.33,1.43,17.78,1.51,97,Satisfactory
03-05-2020,Kochi,52.44,101.4,97.54,1.58,73.23,1.17,1.46,20.05,1.49,107,Moderate
03-06-2020,Kochi,35.12,256.55,119.85,10.37,98.63,6.97,1.48,19.47,1.42,,
03-07-2020,Kochi,33.79,209.44,133.17,6.13,107.15,9.9,1.39,17.99,1.34,162,Moderate
03-08-2020,Kochi,35.83,179.02,131.2,1.43,102.77,8.4,1.22,19.37,1.41,172,Moderate
03-09-2020,Kochi,30.75,116.84,132.22,1.24,102.91,5.73,1.22,20.07,1.48,138,Moderate
03-10-2020,Kochi,42.87,129.32,131.64,2.42,103.62,5.26,1.34,20.52,1.5,125,Moderate
03-11-2020,Kochi,31.4,130.88,129.06,3.36,101.72,6.14,1.29,20.56,1.35,123,Moderate
03-12-2020,Kochi,23.38,82.01,135.28,0.12,105.21,4.03,1.2,20.51,1.56,122,Moderate
3/13/2020,Kochi,33.99,107.54,125.72,1.39,97.96,4.47,1.24,20.57,1.55,122,Moderate
3/14/2020,Kochi,38.1,119.02,118.96,3.59,93.08,6.05,1.29,20.93,1.6,118,Moderate
3/15/2020,Kochi,45.83,108.39,116.97,1.04,90.68,6.13,1.27,21.08,1.44,113,Moderate
3/16/2020,Kochi,45.59,160.29,126.36,4.42,99.62,6.24,1.25,20.71,1.43,117,Moderate
9/24/2015,Lucknow,48.54,,2.51,4.55,2.21,,1.44,2.2,31.76,85,Satisfactory
9/25/2015,Lucknow,49.65,,2.52,4.54,2.21,,1.43,1.61,32.62,91,Satisfactory
9/26/2015,Lucknow,42.27,,2.47,4.6,2.21,,1.61,2.1,32.05,86,Satisfactory
9/27/2015,Lucknow,49.92,,2.24,5.08,2.21,,1.49,1.84,32.05,89,Satisfactory
9/28/2015,Lucknow,63.28,,2.02,5.27,2.21,,1.75,3.18,31.91,101,Moderate
9/29/2015,Lucknow,51.42,,1.27,7.1,2.21,,1.41,2.21,31.63,116,Moderate
9/30/2015,Lucknow,47.21,,1.41,8.34,2.21,,5.68,2.26,36.79,223,Poor
10-01-2015,Lucknow,47.78,,1.2,9.97,2.21,,18.45,2.72,40.12,244,Poor
10-02-2015,Lucknow,54.13,,1.31,9.75,2.21,,12.16,1.9,40.06,143,Moderate
10-03-2015,Lucknow,60.88,,15.66,14.19,4.66,,3.44,3.67,36.79,220,Poor
10-04-2015,Lucknow,65.59,,11.5,17.08,4.89,,1.19,2.63,34.11,154,Moderate
10-05-2015,Lucknow,59.33,,4.16,7.63,4.22,,0.33,5.19,42.54,118,Moderate
10-06-2015,Lucknow,34.68,,3.73,6.72,4.22,,12.5,7.2,47.45,148,Moderate
10-07-2015,Lucknow,53.63,,12.82,10.14,4.22,,5.89,6.39,46.48,100,Satisfactory
10-08-2015,Lucknow,68.67,,10.39,22.65,4.22,,9.97,4.54,36.18,183,Moderate
10-09-2015,Lucknow,57.76,,9.86,24.06,4.22,,18.63,7.64,45.53,228,Poor
10-10-2015,Lucknow,44.58,,17.34,19.22,4.3,,5.54,5.18,36.33,171,Moderate
10-11-2015,Lucknow,28.45,,17.76,10.31,4.22,,15.74,4.51,39.51,191,Moderate
10-12-2015,Lucknow,70.75,,3.65,9.63,4.22,,2.58,4.92,31.79,156,Moderate
10/13/2015,Lucknow,72.43,,11.06,7.7,3.88,,1.66,4.51,49.76,146,Moderate
10/14/2015,Lucknow,73.52,,9.6,4.09,3.22,,1.56,4.62,48.78,164,Moderate
10/15/2015,Lucknow,82.39,,3.09,3.77,4.22,,7.73,6.83,46.97,240,Poor
10/16/2015,Lucknow,95.47,,11.88,15.55,3.55,,1.62,3.68,40.67,188,Moderate
10/17/2015,Lucknow,112.56,,4.97,3.45,3.77,,1.61,2.73,52.04,230,Poor
10/18/2015,Lucknow,133.81,,3.01,4.48,3.16,,1.59,3.49,71.97,267,Poor
10/19/2015,Lucknow,133.94,,2.55,7.6,4.22,,2.51,3.81,67.42,231,Poor
10/20/2015,Lucknow,188.69,,16.41,7.78,4.22,,1.74,4.39,69.65,323,Very Poor
10/21/2015,Lucknow,185.78,,7.95,6.24,4.36,,1.52,5.33,63.32,334,Very Poor
10/22/2015,Lucknow,166.1,,12.73,10.89,4.22,,1.88,6.46,61.79,324,Very Poor
10/23/2015,Lucknow,120.87,,16.85,24.63,4.05,,1.62,6.16,54.26,253,Poor
10/15/2019,Mumbai,50.61,111.2,21.49,33.54,55.03,14.75,1.15,14.05,26.74,116,Moderate
10/16/2019,Mumbai,49.19,118.26,22.95,35.06,57.99,15.33,1.24,14.7,29.97,121,Moderate
10/17/2019,Mumbai,56.89,126.82,18.2,34.5,52.69,15.51,1.22,13.74,38.93,135,Moderate
10/18/2019,Mumbai,62.55,129.06,31.34,35.88,67,18.73,1.19,13.29,13.21,135,Moderate
10/19/2019,Mumbai,28.56,48.57,34.93,24.93,59.86,19.56,1.08,11.67,8.47,99,Satisfactory
10/20/2019,Mumbai,15.09,29.91,26.82,21,46.26,21.13,1.19,11.06,8.69,86,Satisfactory
10/21/2019,Mumbai,17.75,41.34,20.91,20.24,39.17,19.3,1.03,10.82,15.31,81,Satisfactory
10/22/2019,Mumbai,17.92,44.55,19.12,22.87,40.4,15.09,1.04,10.54,15.92,76,Satisfactory
10/23/2019,Mumbai,17.85,41.64,39.34,18.52,55.43,16.18,0.89,11.87,7.6,72,Satisfactory
10/24/2019,Mumbai,30.71,72.1,41.44,24.2,63.53,17.51,1.04,12.45,8.38,87,Satisfactory
10/25/2019,Mumbai,20.04,46.59,24.72,23.05,47.77,16.19,0.93,10.47,6.84,82,Satisfactory
10/26/2019,Mumbai,25.58,57.91,35.65,18.86,54.15,15.37,0.91,9.45,8.26,69,Satisfactory
10/27/2019,Mumbai,39.09,76.14,38.01,15.53,52.34,19.28,0.93,9.28,11.02,105,Moderate
10/28/2019,Mumbai,53.5,91.27,23.72,17.36,40.97,17.58,0.68,9.61,13.97,92,Satisfactory
10/29/2019,Mumbai,56.28,102.53,21.95,25.2,46.88,14.21,0.67,13.83,20.94,113,Moderate
10/30/2019,Mumbai,40.81,84.5,19.68,25.09,44.63,13.88,0.83,13.26,16.87,97,Satisfactory
10/31/2019,Mumbai,25.37,77.85,23.35,26.43,49.77,14.51,0.8,14.56,11.5,81,Satisfactory
11-01-2019,Mumbai,16.55,57.59,20.48,25.78,44.17,14.82,0.65,14.62,13.02,77,Satisfactory
11-02-2019,Mumbai,11.99,39.96,18.12,23.12,41.17,16.57,0.64,14.22,9.88,57,Satisfactory
11-03-2019,Mumbai,20.09,62.74,25.17,23.86,48.84,17.7,0.72,15.36,10.7,71,Satisfactory
11-04-2019,Mumbai,28.41,66.83,21.88,26.02,47.57,13.52,0.84,13.21,16.42,78,Satisfactory
11-05-2019,Mumbai,36.96,76.94,12.57,30.58,42.93,14.93,0.85,15.39,22.29,79,Satisfactory
11-06-2019,Mumbai,52.87,101.96,25.56,37.21,62.77,15.25,1.01,12.45,20.34,105,Moderate
11-07-2019,Mumbai,19.26,52.22,9.35,20.79,30.05,13.56,0.61,9.31,13.36,84,Satisfactory
11-08-2019,Mumbai,12.19,41.81,13.33,22.57,35.9,11.76,0.61,8.53,15.25,57,Satisfactory
11-09-2019,Mumbai,27.12,73.34,18.64,31.47,50.12,13.91,0.8,8.97,14.44,82,Satisfactory
11-10-2019,Mumbai,49.51,98.73,26.17,30.33,56.49,13.09,1.02,9.21,21.17,97,Satisfactory
11-11-2019,Mumbai,57.72,106.42,18.86,39.04,57.85,13.54,1.12,10.26,26.65,108,Moderate
11-12-2019,Mumbai,69.7,132.42,23.32,42.53,65.85,15.99,1.21,12.41,32.22,134,Moderate
11/13/2019,Mumbai,64.9,122.75,19.44,47.12,66.57,17.01,1.03,9.55,28.58,140,Moderate
03-01-2017,Patna,108.2,,61.5,109.84,171.34,,1.5,2.22,23.92,,
03-02-2017,Patna,120.12,,124.7,114.26,238.96,,1.83,2.23,14.83,309,Very Poor
03-03-2017,Patna,89.54,,103.4,106.38,209.79,,1.54,2.23,14.1,254,Poor
03-04-2017,Patna,161,,102.9,92.34,186.37,,1.78,10.43,15.29,241,Poor
03-05-2017,Patna,99.37,,119.24,120.15,239.39,,1.54,2.15,20.65,325,Very Poor
03-06-2017,Patna,80.47,,34.65,115.06,149.72,,1.1,2.19,29.04,248,Poor
03-07-2017,Patna,98.35,,78.38,120.8,181.9,,2.29,2.21,27.18,195,Moderate
03-08-2017,Patna,152.52,,176.54,114.12,259.54,,1.88,2.18,23.5,315,Very Poor
03-09-2017,Patna,185.6,,87.74,94.13,181.86,,2.3,2.24,22.15,314,Very Poor
03-10-2017,Patna,169.79,,120.23,91.24,211.47,,1.89,2.26,14.82,356,Very Poor
03-11-2017,Patna,71.61,,83.4,70.52,153.92,,1.5,2.46,12.99,252,Poor
03-12-2017,Patna,97.92,,97.94,66.92,164.86,,1.68,2.71,13.82,190,Moderate
3/13/2017,Patna,,,,,,,,,,,
3/14/2017,Patna,70.14,,27.38,76.12,103.5,,0.96,2,28.34,,
3/15/2017,Patna,115.38,,44.41,83.11,127.52,,1.66,2.33,28.39,216,Poor
3/16/2017,Patna,86.64,,13.7,38.53,47.02,,1.16,1.93,23.97,,
3/17/2017,Patna,125.96,,4.66,4.7,10.43,,2.47,,18.72,250,Poor
3/18/2017,Patna,145.47,,0.72,0.69,1.41,,1.71,,11.87,346,Very Poor
3/19/2017,Patna,127.63,,0.7,0.66,1.36,,1.42,,15.86,224,Poor
3/20/2017,Patna,76.75,,3.22,4.78,6.07,,1.85,,12.25,312,Very Poor
3/21/2017,Patna,98.03,,6.14,8.53,10.68,,1.43,,20.24,198,Moderate
3/22/2017,Patna,113.14,,5.95,8.56,10.51,,1.17,,23.76,215,Poor
3/23/2017,Patna,116.57,,6.59,6.8,9.39,,1.6,1.96,9.53,287,Poor
3/24/2017,Patna,253.65,,8.87,4.84,9.88,,0.87,2.17,5.82,326,Very Poor
3/25/2017,Patna,,,5.17,7.34,8.51,,1.3,1.38,6.43,,
3/26/2017,Patna,133.93,,5.09,8.05,9.15,,1.54,5.41,10.72,,
3/27/2017,Patna,106.58,,14.33,27.21,37.56,,2.43,9.22,18.51,,
3/28/2017,Patna,157.29,,8.56,13.28,18.78,,1.46,2.29,8.99,330,Very Poor
3/29/2017,Patna,90.88,,2.05,3,5.04,,1.05,3.75,10.04,258,Poor
3/30/2017,Patna,91.26,,2.03,2.98,5.02,,1,4.57,13.69,215,Poor
6/20/2019,Talcher,36.86,146.59,57.53,5.48,53.79,10.37,1.51,24.54,6.67,149,Moderate
6/21/2019,Talcher,17.58,71.05,27.05,6.48,33.53,7.69,1.45,25.07,3.59,75,Satisfactory
6/22/2019,Talcher,23.99,49.42,49.51,6.6,38.96,15.17,1.56,26.7,4.69,86,Satisfactory
6/23/2019,Talcher,15.8,53.89,27.15,6.43,33.58,7.68,1.17,25,4.03,58,Satisfactory
6/24/2019,Talcher,14.22,54.79,25.82,7.01,32.83,7.59,0.97,23.26,7.11,58,Satisfactory
6/25/2019,Talcher,18.3,76.28,33.55,6.12,37.17,8.04,0.97,24.88,2.16,63,Satisfactory
6/26/2019,Talcher,15.44,65.11,39.81,5.37,47.07,9.42,1.04,23.97,5.83,71,Satisfactory
6/27/2019,Talcher,20.9,94.58,25.84,7.01,32.85,7.61,1.08,22.56,4.39,76,Satisfactory
6/28/2019,Talcher,31.6,111.06,45.17,6.97,34.79,9.79,1.37,23.95,4.5,96,Satisfactory
6/29/2019,Talcher,30.87,132.92,25.03,7.4,32.42,7.56,1.88,25.64,3.4,124,Moderate
6/30/2019,Talcher,20.54,61.42,27.4,6.35,33.75,7.69,1.63,25.7,1.93,100,Satisfactory
07-01-2019,Talcher,25.09,57.48,30.06,5.15,35.21,7.82,1.62,26.38,1.84,82,Satisfactory
07-02-2019,Talcher,18.32,59.72,27.63,7.14,33.9,7.7,0.88,27.14,1.9,83,Satisfactory
07-03-2019,Talcher,19.94,79.01,37.72,6,40.15,8.19,0.75,28.29,2.81,79,Satisfactory
07-04-2019,Talcher,17.26,38.61,41.49,5.62,46.81,8.74,1.53,27.6,1.15,81,Satisfactory
07-05-2019,Talcher,30.92,59.67,33.16,5.13,54.65,9.7,2.08,29.35,1.35,102,Moderate
07-06-2019,Talcher,12.41,37.57,33.87,3.42,37.29,8.06,1.59,29.07,0.31,86,Satisfactory
07-07-2019,Talcher,23.24,76.33,30.41,5.53,35.46,7.86,1.67,29.21,1.3,88,Satisfactory
07-08-2019,Talcher,24.06,105.08,28.84,5.71,34.54,7.78,1.87,30.3,1.21,99,Satisfactory
07-09-2019,Talcher,23.04,113.5,30.53,4.91,35.44,7.86,1.61,31.23,1.41,112,Moderate
07-10-2019,Talcher,18.98,100.29,31.42,4.52,35.93,7.92,1.41,31.64,0.81,100,Satisfactory
07-11-2019,Talcher,15.95,89.91,28.91,5.64,34.56,7.78,1.35,31.65,0.89,99,Satisfactory
07-12-2019,Talcher,23.79,111.89,32.63,6.51,36.78,7.96,1.44,32.02,1.71,97,Satisfactory
7/13/2019,Talcher,27.23,133.84,28.36,5.9,34.25,7.74,1.63,32.92,2.08,116,Moderate
7/14/2019,Talcher,35.48,112,55.81,4.72,46.63,19.74,1.67,34.62,1.8,127,Moderate
7/15/2019,Talcher,29,141.24,30.31,5.03,35.34,7.85,1.55,33.42,2.51,109,Moderate
7/16/2019,Talcher,36.21,197.62,34.18,3.27,37.45,8.06,1.64,33.14,3.9,149,Moderate
7/17/2019,Talcher,43.58,169.03,38.93,1.88,42.42,9.43,1.99,33.98,3,171,Moderate
7/18/2019,Talcher,34.79,140.96,60.6,1.96,50.87,10.53,1.91,34.76,3.73,118,Moderate
7/19/2019,Talcher,9.42,134.52,62.2,1.3,54.73,9.45,1.77,33.78,1.42,123,Moderate
04-04-2019,Thiruvananthapuram,25.46,50.68,0.9,5.51,3.61,2.91,0.79,1.84,49.66,74,Satisfactory
04-05-2019,Thiruvananthapuram,19.34,44.72,1.02,6.03,3.64,2.55,0.74,5.9,42.11,65,Satisfactory
04-06-2019,Thiruvananthapuram,22.06,50.03,0.84,5.6,3.58,2.63,0.76,1.01,42.45,61,Satisfactory
04-07-2019,Thiruvananthapuram,29.36,66.82,0.83,3.86,2.69,3.2,0.63,1.28,51.91,66,Satisfactory
04-08-2019,Thiruvananthapuram,29.4,71.05,0.96,4.31,2.97,3.16,0.7,2.87,47.6,69,Satisfactory
04-09-2019,Thiruvananthapuram,29.84,67.66,0.87,4.12,2.82,2.95,0.84,1.95,49.38,70,Satisfactory
04-10-2019,Thiruvananthapuram,29.96,62.29,0.89,4.54,3.11,2.73,0.89,1.98,54.35,68,Satisfactory
04-11-2019,Thiruvananthapuram,27.02,59.77,0.78,3.83,2.65,2.6,0.85,1.15,58.07,83,Satisfactory
04-12-2019,Thiruvananthapuram,28.08,65.59,0.79,4.4,2.91,2.83,0.86,1.13,46.32,68,Satisfactory
4/13/2019,Thiruvananthapuram,29,60.17,2.7,5.62,3.22,2.97,0.86,1.02,49.61,72,Satisfactory
4/14/2019,Thiruvananthapuram,29.11,60.55,1.62,5.77,3.29,3.06,0.91,2.54,48.69,72,Satisfactory
4/15/2019,Thiruvananthapuram,27.8,54.56,1.62,5.62,3.22,3.05,0.88,2.66,45.55,64,Satisfactory
4/16/2019,Thiruvananthapuram,25.36,51.86,1.62,7.6,4.31,3.11,1.01,1.8,37.88,65,Satisfactory
4/17/2019,Thiruvananthapuram,27.7,56.55,1.56,6.93,3.7,2.87,0.94,1.79,39.21,61,Satisfactory
4/18/2019,Thiruvananthapuram,23.75,44.77,1.13,6.31,3.78,3.23,0.88,0.64,44.07,66,Satisfactory
4/19/2019,Thiruvananthapuram,19.82,42.03,1.48,5.74,3.32,3.13,0.96,0.63,44.89,63,Satisfactory
4/20/2019,Thiruvananthapuram,6.75,32.47,1.66,5.4,3.11,2.74,0.97,1.39,47.52,65,Satisfactory
4/21/2019,Thiruvananthapuram,,28.21,1.53,5.51,3.15,2.42,0.94,1.2,47.61,70,Satisfactory
4/22/2019,Thiruvananthapuram,20.85,41.85,2.03,5.2,3.03,3.2,0.95,1.41,52.09,73,Satisfactory
4/23/2019,Thiruvananthapuram,14.08,28.42,1.56,5.06,2.94,3.5,0.72,1.59,60.65,70,Satisfactory
4/24/2019,Thiruvananthapuram,20.29,40.08,1.62,6.53,3.86,3.5,0.93,2.48,55.08,79,Satisfactory
4/25/2019,Thiruvananthapuram,22.56,44.12,1.54,6.67,3.76,3.22,0.82,4.42,53.82,70,Satisfactory
4/26/2019,Thiruvananthapuram,23.4,53.12,1.09,5.21,3.25,3.13,0.89,2.4,55.52,69,Satisfactory
4/27/2019,Thiruvananthapuram,24.68,59.62,1.2,8.44,4.88,3.11,1.04,0.78,44.53,69,Satisfactory
4/28/2019,Thiruvananthapuram,24.35,59.02,1.5,4.8,2.83,2.88,0.98,3.05,39.2,64,Satisfactory
4/29/2019,Thiruvananthapuram,23.93,56.52,1.06,5.78,12.73,2.8,0.89,2.75,47.45,70,Satisfactory
4/30/2019,Thiruvananthapuram,21.05,49.07,1.53,6.15,3.47,2.65,1.03,2.96,55.71,70,Satisfactory
05-01-2019,Thiruvananthapuram,20.83,49.94,1.48,4.25,2.87,2.69,0.93,2.37,51.43,78,Satisfactory
05-02-2019,Thiruvananthapuram,31.21,87.96,1.01,4.94,12.15,2.63,1.09,3.95,38.65,76,Satisfactory
05-03-2019,Thiruvananthapuram,34.33,103.25,1.65,6.93,3.83,2.47,1.02,2.85,41.05,100,Satisfactory
03-04-2020,Visakhapatnam,50.36,110.01,2.36,37.2,21.24,16.24,1.15,15.6,15.1,127,Moderate
03-05-2020,Visakhapatnam,20.02,47.95,2,20.44,12.38,13.68,0.87,9.65,14.75,69,Satisfactory
03-06-2020,Visakhapatnam,15.11,40.46,2.04,15.5,9.84,13.59,0.67,7.89,12.65,51,Satisfactory
03-07-2020,Visakhapatnam,14.16,36.93,1.94,16.21,10.19,13.02,0.72,8.37,12.72,45,Good
03-08-2020,Visakhapatnam,17.77,71.21,2.32,28.78,16.78,11.79,0.92,11.2,11.12,69,Satisfactory
03-09-2020,Visakhapatnam,19.48,55.45,2.11,23.76,13.74,11.88,0.74,11.35,12,82,Satisfactory
03-10-2020,Visakhapatnam,16.23,46.4,1.86,22.56,13.35,11.3,0.76,8.91,11.86,69,Satisfactory
03-11-2020,Visakhapatnam,19.9,58.97,2.12,24.48,14.45,10.97,0.79,8.65,11.43,64,Satisfactory
03-12-2020,Visakhapatnam,23.84,56.3,2.22,24.28,14.57,12.05,0.67,10.58,12.06,61,Satisfactory
3/13/2020,Visakhapatnam,21.5,51.15,2.17,19.43,11.85,11.74,0.45,8.83,12.81,57,Satisfactory
3/14/2020,Visakhapatnam,29.97,80.28,3.61,27.41,15.55,11.66,0.81,7.98,12.94,82,Satisfactory
3/15/2020,Visakhapatnam,34.29,98.12,2.44,29.32,17.16,12.49,0.87,3.4,14,97,Satisfactory
3/16/2020,Visakhapatnam,50.96,111.92,2.37,31.88,18.72,12.88,0.92,6.89,15.62,103,Moderate
3/17/2020,Visakhapatnam,31.25,113.8,1.96,39.24,22.04,11.4,1.1,6.23,15.2,104,Moderate
3/18/2020,Visakhapatnam,33.01,98.93,7.6,48.77,31.98,10.82,0.96,7.57,15.32,105,Moderate
3/19/2020,Visakhapatnam,43.21,115.14,21.71,53.06,45.87,10.04,1.12,6.84,39.79,134,Moderate
